benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   1774651 ns/op	   6.49 MB/s	         8.000 partitions/op	        80.00 records/op	   24203 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   2333140 ns/op	   4.93 MB/s	         8.000 partitions/op	        80.00 records/op	   24156 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   2148019 ns/op	   5.36 MB/s	         8.000 partitions/op	        80.00 records/op	   24152 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   1861420 ns/op	   6.18 MB/s	         8.000 partitions/op	        80.00 records/op	   24156 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   1634552 ns/op	   7.04 MB/s	         8.000 partitions/op	        80.00 records/op	   24173 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   2270262 ns/op	   5.07 MB/s	         8.000 partitions/op	        80.00 records/op	   24152 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   2003073 ns/op	   5.75 MB/s	         8.000 partitions/op	        80.00 records/op	   22923 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   1564401 ns/op	   7.36 MB/s	         8.000 partitions/op	        80.00 records/op	   24152 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   3531752 ns/op	   3.26 MB/s	         8.000 partitions/op	        80.00 records/op	   28003 B/op	     172 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/raw-franz-go-16         	      50	   2073464 ns/op	   5.55 MB/s	         8.000 partitions/op	        80.00 records/op	   24173 B/op	     171 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8478382 ns/op	   1.36 MB/s	         8.000 partitions/op	        80.00 records/op	   74403 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8612793 ns/op	   1.34 MB/s	         8.000 partitions/op	        80.00 records/op	   74251 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9552708 ns/op	   1.20 MB/s	         8.000 partitions/op	        80.00 records/op	   74134 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	  10997529 ns/op	   1.05 MB/s	         8.000 partitions/op	        80.00 records/op	   73949 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	  10480752 ns/op	   1.10 MB/s	         8.000 partitions/op	        80.00 records/op	   74111 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9140622 ns/op	   1.26 MB/s	         8.000 partitions/op	        80.00 records/op	   74160 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9039523 ns/op	   1.27 MB/s	         8.000 partitions/op	        80.00 records/op	   74332 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9015529 ns/op	   1.28 MB/s	         8.000 partitions/op	        80.00 records/op	   74205 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   7949785 ns/op	   1.45 MB/s	         8.000 partitions/op	        80.00 records/op	   74318 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8144942 ns/op	   1.41 MB/s	         8.000 partitions/op	        80.00 records/op	   74096 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8492033 ns/op	   1.36 MB/s	         8.000 partitions/op	        80.00 records/op	   74290 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9442259 ns/op	   1.22 MB/s	         8.000 partitions/op	        80.00 records/op	   74277 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8645111 ns/op	   1.33 MB/s	         8.000 partitions/op	        80.00 records/op	   74325 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8110109 ns/op	   1.42 MB/s	         8.000 partitions/op	        80.00 records/op	   74628 B/op	     813 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8070735 ns/op	   1.43 MB/s	         8.000 partitions/op	        80.00 records/op	   74404 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9727110 ns/op	   1.18 MB/s	         8.000 partitions/op	        80.00 records/op	   74434 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8479145 ns/op	   1.36 MB/s	         8.000 partitions/op	        80.00 records/op	   74300 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8749995 ns/op	   1.32 MB/s	         8.000 partitions/op	        80.00 records/op	   74267 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   9891085 ns/op	   1.16 MB/s	         8.000 partitions/op	        80.00 records/op	   74249 B/op	     812 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/none/sarama-16               	      50	   8359396 ns/op	   1.38 MB/s	         8.000 partitions/op	        80.00 records/op	   74197 B/op	     811 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   5152152 ns/op	   2.23 MB/s	         8.000 partitions/op	        80.00 records/op	   54545 B/op	     363 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1765178 ns/op	   6.52 MB/s	         8.000 partitions/op	        80.00 records/op	   54779 B/op	     361 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   2158301 ns/op	   5.33 MB/s	         8.000 partitions/op	        80.00 records/op	   54600 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   2178940 ns/op	   5.28 MB/s	         8.000 partitions/op	        80.00 records/op	   54346 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1496375 ns/op	   7.69 MB/s	         8.000 partitions/op	        80.00 records/op	   54727 B/op	     360 allocs/op
BenchmarkEquivalentMultiPartitionProduce/keyed/128B/snappy/golib-policy-16       	      50	   1192725 ns/op	   9.65 MB/s	         8.000 partitions/op	        80.00 records/op	   56907 B/op	     361 allocs/op
