goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentSynchronousProduce/unkeyed/65536B/none/raw-franz-go-16             78.94Mi ± 57%
EquivalentSynchronousProduce/unkeyed/65536B/none/sarama-16                   8.950Mi ±  3%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/golib-policy-16           185.1Mi ± 10%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/raw-franz-go-16           78.75Mi ±  8%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/sarama-16                 9.384Mi ±  2%
geomean                                                                      1.795Mi

                                                                   │ raw-producer.next.txt │
                                                                   │         B/op          │
EquivalentSynchronousProduce/keyed/128B/none/golib-policy-16                 5.084Ki ±  0%
EquivalentSynchronousProduce/keyed/128B/none/raw-franz-go-16                 4.271Ki ±  0%
EquivalentSynchronousProduce/keyed/128B/none/sarama-16                       5.852Ki ±  0%
EquivalentSynchronousProduce/keyed/128B/snappy/golib-policy-16               5.084Ki ±  3%
EquivalentSynchronousProduce/keyed/128B/snappy/raw-franz-go-16               4.282Ki ±  4%
EquivalentSynchronousProduce/keyed/128B/snappy/sarama-16                     6.268Ki ±  0%
EquivalentSynchronousProduce/keyed/1024B/none/golib-policy-16                6.021Ki ±  0%
EquivalentSynchronousProduce/keyed/1024B/none/raw-franz-go-16                4.341Ki ±  1%
EquivalentSynchronousProduce/keyed/1024B/none/sarama-16                      7.763Ki ±  0%
EquivalentSynchronousProduce/keyed/1024B/snappy/golib-policy-16              6.218Ki ±  3%
EquivalentSynchronousProduce/keyed/1024B/snappy/raw-franz-go-16              4.360Ki ±  4%
EquivalentSynchronousProduce/keyed/1024B/snappy/sarama-16                    8.539Ki ±  0%
EquivalentSynchronousProduce/keyed/65536B/none/golib-policy-16               76.31Ki ±  4%
EquivalentSynchronousProduce/keyed/65536B/none/raw-franz-go-16               7.150Ki ± 20%
EquivalentSynchronousProduce/keyed/65536B/none/sarama-16                     149.7Ki ±  0%
EquivalentSynchronousProduce/keyed/65536B/snappy/golib-policy-16             80.44Ki ±  5%
EquivalentSynchronousProduce/keyed/65536B/snappy/raw-franz-go-16             8.670Ki ± 18%
EquivalentSynchronousProduce/keyed/65536B/snappy/sarama-16                   128.5Ki ±  0%
EquivalentSynchronousProduce/unkeyed/128B/none/golib-policy-16               5.067Ki ±  0%
EquivalentSynchronousProduce/unkeyed/128B/none/raw-franz-go-16               4.271Ki ±  0%
EquivalentSynchronousProduce/unkeyed/128B/none/sarama-16                     5.812Ki ±  0%
EquivalentSynchronousProduce/unkeyed/128B/snappy/golib-policy-16             5.067Ki ±  6%
EquivalentSynchronousProduce/unkeyed/128B/snappy/raw-franz-go-16             4.287Ki ±  7%
EquivalentSynchronousProduce/unkeyed/128B/snappy/sarama-16                   6.211Ki ±  0%
EquivalentSynchronousProduce/unkeyed/1024B/none/golib-policy-16              6.002Ki ±  0%
EquivalentSynchronousProduce/unkeyed/1024B/none/raw-franz-go-16              4.335Ki ±  1%
EquivalentSynchronousProduce/unkeyed/1024B/none/sarama-16                    7.740Ki ±  0%
EquivalentSynchronousProduce/unkeyed/1024B/snappy/golib-policy-16            6.233Ki ±  4%
EquivalentSynchronousProduce/unkeyed/1024B/snappy/raw-franz-go-16            4.370Ki ±  6%
EquivalentSynchronousProduce/unkeyed/1024B/snappy/sarama-16                  8.508Ki ±  0%
EquivalentSynchronousProduce/unkeyed/65536B/none/golib-policy-16             75.56Ki ±  1%
EquivalentSynchronousProduce/unkeyed/65536B/none/raw-franz-go-16             7.146Ki ± 20%
EquivalentSynchronousProduce/unkeyed/65536B/none/sarama-16                   149.7Ki ±  0%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/golib-policy-16           81.05Ki ±  2%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/raw-franz-go-16           8.590Ki ± 20%
EquivalentSynchronousProduce/unkeyed/65536B/snappy/sarama-16                 128.5Ki ±  0%
geomean                                                                      11.03Ki

                                                                   │ raw-producer.next.txt │
                                                                   │       allocs/op       │
EquivalentSynchronousProduce/keyed/128B/none/golib-policy-16                    69.00 ± 0%
EquivalentSynchronousProduce/keyed/128B/none/raw-franz-go-16                    58.00 ± 0%
EquivalentSynchronousProduce/keyed/128B/none/sarama-16                          93.00 ± 0%
EquivalentSynchronousProduce/keyed/128B/snappy/golib-policy-16                  69.00 ± 0%
EquivalentSynchronousProduce/keyed/128B/snappy/raw-franz-go-16                  58.00 ± 0%
EquivalentSynchronousProduce/keyed/128B/snappy/sarama-16                        98.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/none/golib-policy-16                   69.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/none/raw-franz-go-16                   58.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/none/sarama-16                         93.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/snappy/golib-policy-16                 69.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/snappy/raw-franz-go-16                 58.00 ± 0%
EquivalentSynchronousProduce/keyed/1024B/snappy/sarama-16                       98.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/none/golib-policy-16                  69.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/none/raw-franz-go-16                  58.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/none/sarama-16                        93.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/snappy/golib-policy-16                69.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/snappy/raw-franz-go-16                58.00 ± 0%
EquivalentSynchronousProduce/keyed/65536B/snappy/sarama-16                      99.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/none/golib-policy-16                  68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/none/raw-franz-go-16                  58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/none/sarama-16                        92.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/snappy/golib-policy-16                68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/snappy/raw-franz-go-16                58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/128B/snappy/sarama-16                      97.00 ± 0%
EquivalentSynchronousProduce/unkeyed/1024B/none/golib-policy-16                 68.00 ± 0%
EquivalentSynchronousProduce/unkeyed/1024B/none/raw-franz-go-16                 58.00 ± 0%
EquivalentSynchronousProduce/unkeyed/1024B/none/sarama-16                       92.00 ± 0%
