goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/raw-franz-go-16                    15.41Mi ± 55%
EquivalentSynchronousBatchProduce/keyed/128B/100-records/snappy/sarama-16                          1.922Mi ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/golib-policy-16                      35.00Mi ±  4%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/raw-franz-go-16                      37.81Mi ±  5%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/none/sarama-16                            1.497Mi ±  4%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/golib-policy-16                    36.36Mi ±  7%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/raw-franz-go-16                    39.48Mi ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/10-records/snappy/sarama-16                          1.411Mi ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/golib-policy-16                     158.1Mi ± 24%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/raw-franz-go-16                     118.9Mi ± 23%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/none/sarama-16                           11.53Mi ± 12%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/golib-policy-16                   214.7Mi ± 21%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/raw-franz-go-16                   313.9Mi ±  3%
EquivalentSynchronousBatchProduce/keyed/1024B/100-records/snappy/sarama-16                         14.85Mi ±  2%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/golib-policy-16                     5.455Mi ±  7%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/raw-franz-go-16                     5.417Mi ±  6%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/none/sarama-16                           185.5Ki ±  5%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/golib-policy-16                   5.989Mi ±  7%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/raw-franz-go-16                   6.270Mi ± 31%
EquivalentSynchronousBatchProduce/unkeyed/128B/10-records/snappy/sarama-16                         195.3Ki ±  5%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/golib-policy-16                    45.29Mi ±  6%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/raw-franz-go-16                    55.83Mi ±  2%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/none/sarama-16                          1.822Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/golib-policy-16                  43.29Mi ± 10%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/raw-franz-go-16                  55.29Mi ±  5%
EquivalentSynchronousBatchProduce/unkeyed/128B/100-records/snappy/sarama-16                        1.793Mi ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/golib-policy-16                    23.23Mi ± 49%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/raw-franz-go-16                    41.84Mi ±  6%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/none/sarama-16                          1.497Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/golib-policy-16                  33.12Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/raw-franz-go-16                  35.96Mi ±  9%
EquivalentSynchronousBatchProduce/unkeyed/1024B/10-records/snappy/sarama-16                        1.516Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/golib-policy-16                   206.7Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/raw-franz-go-16                   226.2Mi ±  6%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/none/sarama-16                         14.07Mi ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/golib-policy-16                 270.2Mi ±  4%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/raw-franz-go-16                 309.4Mi ±  3%
EquivalentSynchronousBatchProduce/unkeyed/1024B/100-records/snappy/sarama-16                       14.49Mi ± 10%
