benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    329988 ns/op	   4.27 MB/s	        10.00 records/op	    6241 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    294059 ns/op	   4.79 MB/s	        10.00 records/op	    6280 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    325632 ns/op	   4.33 MB/s	        10.00 records/op	    6339 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    311501 ns/op	   4.53 MB/s	        10.00 records/op	    6248 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    309010 ns/op	   4.56 MB/s	        10.00 records/op	    6250 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    296501 ns/op	   4.76 MB/s	        10.00 records/op	    6279 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/raw-franz-go-16         	      50	    286788 ns/op	   4.92 MB/s	        10.00 records/op	    6364 B/op	      68 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6209276 ns/op	   0.23 MB/s	        10.00 records/op	   13125 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6829668 ns/op	   0.21 MB/s	        10.00 records/op	   13150 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6672178 ns/op	   0.21 MB/s	        10.00 records/op	   13141 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6356321 ns/op	   0.22 MB/s	        10.00 records/op	   13148 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6296625 ns/op	   0.22 MB/s	        10.00 records/op	   13128 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   7019192 ns/op	   0.20 MB/s	        10.00 records/op	   13115 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   7072613 ns/op	   0.20 MB/s	        10.00 records/op	   13156 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6954256 ns/op	   0.20 MB/s	        10.00 records/op	   13127 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6699667 ns/op	   0.21 MB/s	        10.00 records/op	   13144 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6390621 ns/op	   0.22 MB/s	        10.00 records/op	   13115 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6608004 ns/op	   0.21 MB/s	        10.00 records/op	   13127 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6769847 ns/op	   0.21 MB/s	        10.00 records/op	   13135 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6614108 ns/op	   0.21 MB/s	        10.00 records/op	   13115 B/op	     158 allocs/op
BenchmarkEquivalentSynchronousBatchProduce/keyed/128B/10-records/none/sarama-16               	      50	   6703631 ns/op	   0.21 MB/s	        10.00 records/op	   13120 B/op	     158 allocs/op
