benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   6761482 ns/op	   0.21 MB/s	        10.00 records/op	    6398 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   7211209 ns/op	   0.20 MB/s	        10.00 records/op	    6289 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   6832433 ns/op	   0.21 MB/s	        10.00 records/op	    6310 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   7279715 ns/op	   0.19 MB/s	        10.00 records/op	    6314 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   6924550 ns/op	   0.20 MB/s	        10.00 records/op	    6408 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   7993463 ns/op	   0.18 MB/s	        10.00 records/op	    6310 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   7641803 ns/op	   0.18 MB/s	        10.00 records/op	    6480 B/op	      76 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/raw-franz-go-16         	      50	   7509597 ns/op	   0.19 MB/s	        10.00 records/op	    6310 B/op	      75 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7540766 ns/op	   0.19 MB/s	        10.00 records/op	   14330 B/op	     187 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/none/sarama-16               	      50	   7980796 ns/op	   0.18 MB/s	        10.00 records/op	   14328 B/op	     187 allocs/op
