benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   2027633 ns/op	   0.07 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   2899412 ns/op	   0.05 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   1611342 ns/op	   0.09 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   2008954 ns/op	   0.08 MB/s	         1.000 records/op	    5384 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   1966642 ns/op	   0.08 MB/s	         1.000 records/op	    5488 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/raw-franz-go-16         	      10	   5413100 ns/op	   0.03 MB/s	         1.000 records/op	    5522 B/op	      86 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   4654108 ns/op	   0.03 MB/s	         1.000 records/op	    1359 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   3667021 ns/op	   0.04 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1442321 ns/op	   0.10 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2175025 ns/op	   0.07 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1472121 ns/op	   0.10 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   3295133 ns/op	   0.05 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2386738 ns/op	   0.06 MB/s	         1.000 records/op	    1305 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2352067 ns/op	   0.06 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2025329 ns/op	   0.07 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   2095246 ns/op	   0.07 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   4029592 ns/op	   0.04 MB/s	         1.000 records/op	    1324 B/op	      19 allocs/op
BenchmarkEquivalentConsumerHandling/record/1-records/128B/none/kafka-go-16             	      10	   1969792 ns/op	   0.08 MB/s	         1.000 records/op	    1304 B/op	      19 allocs/op
