benchmark-tls-broker-runtime=Apache Kafka 4.3.1 OpenSSL 3.5.7 TLS 1.3
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    796756 ns/op	   1.29 MB/s	    4410 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    577555 ns/op	   1.77 MB/s	    4405 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    282903 ns/op	   3.62 MB/s	    4376 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    315292 ns/op	   3.25 MB/s	    4363 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    252662 ns/op	   4.05 MB/s	    4371 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    267183 ns/op	   3.83 MB/s	    4371 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    292759 ns/op	   3.50 MB/s	    4387 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    275788 ns/op	   3.71 MB/s	    4414 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/raw-franz-go-16        	     100	    287302 ns/op	   3.56 MB/s	    4363 B/op	      60 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6840754 ns/op	   0.15 MB/s	    8034 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6649199 ns/op	   0.15 MB/s	    8038 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6837685 ns/op	   0.15 MB/s	    8037 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6864015 ns/op	   0.15 MB/s	    8021 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6580050 ns/op	   0.16 MB/s	    8032 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6980414 ns/op	   0.15 MB/s	    8042 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6778854 ns/op	   0.15 MB/s	    8051 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   7099445 ns/op	   0.14 MB/s	    8101 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   7140906 ns/op	   0.14 MB/s	    8025 B/op	      96 allocs/op
BenchmarkEquivalentTLSSynchronousProduce/1024B/sarama-16              	     100	   6911793 ns/op	   0.15 MB/s	    8037 B/op	      96 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16842372 ns/op	         1.000 connections/op	  393629 B/op	    2574 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16163876 ns/op	         1.000 connections/op	  393994 B/op	    2580 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16342006 ns/op	         1.000 connections/op	  394006 B/op	    2577 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16160842 ns/op	         1.000 connections/op	  393236 B/op	    2573 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16312610 ns/op	         1.000 connections/op	  393097 B/op	    2575 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  15972590 ns/op	         1.000 connections/op	  392871 B/op	    2571 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16512652 ns/op	         1.000 connections/op	  393051 B/op	    2574 allocs/op
BenchmarkEquivalentTLSConnectProduceClose/golib-policy-16             	     100	  16670924 ns/op	         1.000 connections/op	  392849 B/op	    2573 allocs/op
