benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspectionIdleResources/kafka-go-16             	       1	 502019459 ns/op	         4.000 closed-connections/op	         4.000 idle-connections	         0 idle-cpu-ns/s	         5.000 idle-goroutines	    168488 idle-heap-bytes	       135.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/kafka-go-16             	       1	 500688541 ns/op	         4.000 closed-connections/op	         4.000 idle-connections	         0 idle-cpu-ns/s	         5.000 idle-goroutines	    103368 idle-heap-bytes	       140.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/kafka-go-16             	       1	 501748833 ns/op	         4.000 closed-connections/op	         4.000 idle-connections	         0 idle-cpu-ns/s	         5.000 idle-goroutines	    168360 idle-heap-bytes	       137.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/kafka-go-16             	       1	 501114166 ns/op	         4.000 closed-connections/op	         4.000 idle-connections	         0 idle-cpu-ns/s	         5.000 idle-goroutines	    168520 idle-heap-bytes	       135.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/kafka-go-16             	       1	 500548500 ns/op	         4.000 closed-connections/op	         4.000 idle-connections	         0 idle-cpu-ns/s	         5.000 idle-goroutines	    104056 idle-heap-bytes	       147.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 501637125 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         4.000 idle-goroutines	    160688 idle-heap-bytes	       294.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 502045041 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    157792 idle-heap-bytes	       253.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 501517500 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    158408 idle-heap-bytes	       260.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 501012917 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    158160 idle-heap-bytes	       257.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 500730917 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    157792 idle-heap-bytes	       253.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 501874666 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    158784 idle-heap-bytes	       264.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 502030667 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    156728 idle-heap-bytes	       242.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 500128166 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    158408 idle-heap-bytes	       260.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 502020833 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    159152 idle-heap-bytes	       268.0 idle-heap-objects
BenchmarkEquivalentInspectionIdleResources/sarama-16               	       1	 501073875 ns/op	         1.000 closed-connections/op	         1.000 idle-connections	         0 idle-cpu-ns/s	         3.000 idle-goroutines	    157792 idle-heap-bytes	       253.0 idle-heap-objects
PASS
ok  	github.com/faustbrian/golib/pkg/kafka/benchmarks/clients	35.859s
