goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentReplay/100-records/128B/none/sarama-16                100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/golib-policy-16        100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16        100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/kafka-go-16            100.0 ± 0%
EquivalentReplay/100-records/128B/snappy/sarama-16              100.0 ± 0%
EquivalentReplay/100-records/1024B/none/golib-policy-16         100.0 ± 0%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16         100.0 ± 0%
EquivalentReplay/100-records/1024B/none/kafka-go-16             100.0 ± 0%
EquivalentReplay/100-records/1024B/none/sarama-16               100.0 ± 0%
EquivalentReplay/100-records/1024B/snappy/golib-policy-16       100.0 ± 0%
EquivalentReplay/100-records/1024B/snappy/raw-franz-go-16       100.0 ± 0%
EquivalentReplay/100-records/1024B/snappy/kafka-go-16           100.0 ± 0%
EquivalentReplay/100-records/1024B/snappy/sarama-16             100.0 ± 0%
geomean                                                         31.62

                                                          │ raw-replay.txt │
                                                          │      B/op      │
EquivalentReplay/10-records/128B/none/golib-policy-16        152.6Ki ±  1%
EquivalentReplay/10-records/128B/none/raw-franz-go-16        147.2Ki ±  0%
EquivalentReplay/10-records/128B/none/kafka-go-16            143.6Ki ± 44%
EquivalentReplay/10-records/128B/none/sarama-16              237.9Ki ±  0%
EquivalentReplay/10-records/128B/snappy/golib-policy-16      160.4Ki ±  1%
EquivalentReplay/10-records/128B/snappy/raw-franz-go-16      155.7Ki ±  5%
EquivalentReplay/10-records/128B/snappy/kafka-go-16          182.6Ki ± 32%
EquivalentReplay/10-records/128B/snappy/sarama-16            238.9Ki ±  0%
EquivalentReplay/10-records/1024B/none/golib-policy-16       161.1Ki ±  0%
EquivalentReplay/10-records/1024B/none/raw-franz-go-16       156.0Ki ±  0%
EquivalentReplay/10-records/1024B/none/kafka-go-16           163.7Ki ± 36%
EquivalentReplay/10-records/1024B/none/sarama-16             247.7Ki ±  0%
EquivalentReplay/10-records/1024B/snappy/golib-policy-16     180.5Ki ±  4%
EquivalentReplay/10-records/1024B/snappy/raw-franz-go-16     175.7Ki ±  3%
EquivalentReplay/10-records/1024B/snappy/kafka-go-16         201.3Ki ± 32%
EquivalentReplay/10-records/1024B/snappy/sarama-16           249.5Ki ±  0%
EquivalentReplay/100-records/128B/none/golib-policy-16       203.3Ki ±  1%
EquivalentReplay/100-records/128B/none/raw-franz-go-16       189.2Ki ±  0%
EquivalentReplay/100-records/128B/none/kafka-go-16           189.3Ki ± 32%
EquivalentReplay/100-records/128B/none/sarama-16             280.4Ki ±  0%
EquivalentReplay/100-records/128B/snappy/golib-policy-16     241.0Ki ±  3%
EquivalentReplay/100-records/128B/snappy/raw-franz-go-16     217.0Ki ±  3%
EquivalentReplay/100-records/128B/snappy/kafka-go-16         221.9Ki ± 24%
EquivalentReplay/100-records/128B/snappy/sarama-16           285.2Ki ±  0%
EquivalentReplay/100-records/1024B/none/golib-policy-16      291.6Ki ±  1%
EquivalentReplay/100-records/1024B/none/raw-franz-go-16      277.4Ki ±  0%
EquivalentReplay/100-records/1024B/none/kafka-go-16          283.7Ki ± 21%
EquivalentReplay/100-records/1024B/none/sarama-16            368.4Ki ±  0%
