benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   5505567 ns/op	         1.000 partitions/op	   15781 B/op	     250 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	  12837062 ns/op	         1.000 partitions/op	   22362 B/op	     251 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   6805742 ns/op	         1.000 partitions/op	   15451 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   4546208 ns/op	         1.000 partitions/op	   15781 B/op	     250 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   7699600 ns/op	         1.000 partitions/op	   22357 B/op	     251 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   5040362 ns/op	         1.000 partitions/op	   15451 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   5644771 ns/op	         1.000 partitions/op	   22030 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   2594800 ns/op	         1.000 partitions/op	   15456 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   3150142 ns/op	         1.000 partitions/op	   15456 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   6130625 ns/op	         1.000 partitions/op	   15781 B/op	     250 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	  17481308 ns/op	         1.000 partitions/op	   22428 B/op	     252 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   2224817 ns/op	         1.000 partitions/op	   15456 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   2436862 ns/op	         1.000 partitions/op	   15457 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   2658158 ns/op	         1.000 partitions/op	   22025 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   1632296 ns/op	         1.000 partitions/op	   15451 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   2413488 ns/op	         1.000 partitions/op	   15451 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/kafka-go-16             	      10	   1089192 ns/op	         1.000 partitions/op	   15451 B/op	     247 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   4172083 ns/op	         1.000 partitions/op	   19804 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   5752454 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   3340808 ns/op	         1.000 partitions/op	   19800 B/op	     235 allocs/op
BenchmarkEquivalentInspection/1-partitions/sarama-16               	      10	   3192700 ns/op	         1.000 partitions/op	   19820 B/op	     235 allocs/op
