id	version	source	line	object	variant	name	type	pattern	required	description
OAS-3.0.0-F0112	3.0.0	oas/3.0/3.0.0.md	2353	Schema Object	Fixed Fields	writeOnly	boolean	false	true	"Relevant only for Schema `""properties""` definitions. Declares the property as ""write only"". Therefore, it MAY be sent as part of a request but SHOULD NOT be sent as part of the response. If the property is marked as `writeOnly` being `true` and is in the `required` list, the `required` will take effect on the request only. A property MUST NOT be marked as both `readOnly` and `writeOnly` being `true`. Default value is `false`."
OAS-3.0.0-F0113	3.0.0	oas/3.0/3.0.0.md	2354	Schema Object	Fixed Fields	xml	XML Object	false	false	This MAY be used only on properties schemas. It has no effect on root schemas. Adds additional metadata to describe the XML representation of this property.
OAS-3.0.0-F0114	3.0.0	oas/3.0/3.0.0.md	2355	Schema Object	Fixed Fields	externalDocs	External Documentation Object	false	false	Additional external documentation for this schema.
OAS-3.0.0-F0115	3.0.0	oas/3.0/3.0.0.md	2356	Schema Object	Fixed Fields	example	Any	false	false	A free-form property to include an example of an instance for this schema. To represent examples that cannot be naturally represented in JSON or YAML, a string value can be used to contain the example with escaping where necessary.
OAS-3.0.0-F0116	3.0.0	oas/3.0/3.0.0.md	2357	Schema Object	Fixed Fields	deprecated	boolean	false	false	Specifies that a schema is deprecated and SHOULD be transitioned out of usage. Default value is `false`.
OAS-3.0.0-F0117	3.0.0	oas/3.0/3.0.0.md	2717	Discriminator Object	Fixed Fields	propertyName	string	false	true	**REQUIRED**. The name of the property in the payload that will hold the discriminator value.
OAS-3.0.0-F0118	3.0.0	oas/3.0/3.0.0.md	2718	Discriminator Object	Fixed Fields	mapping	Map[string, string]	false	false	An object to hold mappings between payload values and schema names or references.
OAS-3.0.0-F0119	3.0.0	oas/3.0/3.0.0.md	2851	XML Object	Fixed Fields	name	string	false	false	Replaces the name of the element/attribute used for the described schema property. When defined within `items`, it will affect the name of the individual XML elements within the list. When defined alongside `type` being `array` (outside the `items`), it will affect the wrapping element and only if `wrapped` is `true`. If `wrapped` is `false`, it will be ignored.
OAS-3.0.0-F0120	3.0.0	oas/3.0/3.0.0.md	2852	XML Object	Fixed Fields	namespace	string	false	false	The URI of the namespace definition. Value MUST be in the form of an absolute URI.
OAS-3.0.0-F0121	3.0.0	oas/3.0/3.0.0.md	2853	XML Object	Fixed Fields	prefix	string	false	false	The prefix to be used for the [name](#xmlName).
OAS-3.0.0-F0122	3.0.0	oas/3.0/3.0.0.md	2854	XML Object	Fixed Fields	attribute	boolean	false	false	Declares whether the property definition translates to an attribute instead of an element. Default value is `false`.
OAS-3.0.0-F0123	3.0.0	oas/3.0/3.0.0.md	2855	XML Object	Fixed Fields	wrapped	boolean	false	false	MAY be used only for an array definition. Signifies whether the array is wrapped (for example, `<books><book/><book/></books>`) or unwrapped (`<book/><book/>`). Default value is `false`. The definition takes effect only when defined alongside `type` being `array` (outside the `items`).
OAS-3.0.0-F0124	3.0.0	oas/3.0/3.0.0.md	3202	Security Scheme Object	Fixed Fields	type	string	false	true	"Any | **REQUIRED**. The type of the security scheme. Valid values are `""apiKey""`, `""http""`, `""oauth2""`, `""openIdConnect""`."
OAS-3.0.0-F0125	3.0.0	oas/3.0/3.0.0.md	3203	Security Scheme Object	Fixed Fields	description	string	false	false	Any | A short description for security scheme. [CommonMark syntax](http://spec.commonmark.org/) MAY be used for rich text representation.
OAS-3.0.0-F0126	3.0.0	oas/3.0/3.0.0.md	3204	Security Scheme Object	Fixed Fields	name	string	false	true	`apiKey` | **REQUIRED**. The name of the header, query or cookie parameter to be used.
OAS-3.0.0-F0127	3.0.0	oas/3.0/3.0.0.md	3205	Security Scheme Object	Fixed Fields	in	string	false	true	"`apiKey` | **REQUIRED**. The location of the API key. Valid values are `""query""`, `""header""` or `""cookie""`."
OAS-3.0.0-F0128	3.0.0	oas/3.0/3.0.0.md	3206	Security Scheme Object	Fixed Fields	scheme	string	false	true	`http` | **REQUIRED**. The name of the HTTP Authorization scheme to be used in the [Authorization header as defined in RFC7235](https://tools.ietf.org/html/rfc7235#section-5.1).
OAS-3.0.0-F0129	3.0.0	oas/3.0/3.0.0.md	3207	Security Scheme Object	Fixed Fields	bearerFormat	string	false	false	"`http` (`""bearer""`) | A hint to the client to identify how the bearer token is formatted. Bearer tokens are usually generated by an authorization server, so this information is primarily for documentation purposes."
OAS-3.0.0-F0130	3.0.0	oas/3.0/3.0.0.md	3208	Security Scheme Object	Fixed Fields	flows	OAuth Flows Object	false	true	`oauth2` | **REQUIRED**. An object containing configuration information for the flow types supported.
OAS-3.0.0-F0131	3.0.0	oas/3.0/3.0.0.md	3209	Security Scheme Object	Fixed Fields	openIdConnectUrl	string	false	true	`openIdConnect` | **REQUIRED**. OpenId Connect URL to discover OAuth2 configuration values. This MUST be in the form of a URL.
OAS-3.0.0-F0132	3.0.0	oas/3.0/3.0.0.md	3295	OAuth Flows Object	Fixed Fields	implicit	OAuth Flow Object	false	false	Configuration for the OAuth Implicit flow
OAS-3.0.0-F0133	3.0.0	oas/3.0/3.0.0.md	3296	OAuth Flows Object	Fixed Fields	password	OAuth Flow Object	false	false	Configuration for the OAuth Resource Owner Password flow
OAS-3.0.0-F0134	3.0.0	oas/3.0/3.0.0.md	3297	OAuth Flows Object	Fixed Fields	clientCredentials	OAuth Flow Object	false	false	Configuration for the OAuth Client Credentials flow. Previously called `application` in OpenAPI 2.0.
OAS-3.0.0-F0135	3.0.0	oas/3.0/3.0.0.md	3298	OAuth Flows Object	Fixed Fields	authorizationCode	OAuth Flow Object	false	false	Configuration for the OAuth Authorization Code flow. Previously called `accessCode` in OpenAPI 2.0.
OAS-3.0.0-F0136	3.0.0	oas/3.0/3.0.0.md	3309	OAuth Flow Object	Fixed Fields	authorizationUrl	string	false	true	"`oauth2` (`""implicit""`, `""authorizationCode""`) | **REQUIRED**. The authorization URL to be used for this flow. This MUST be in the form of a URL."
OAS-3.0.0-F0137	3.0.0	oas/3.0/3.0.0.md	3310	OAuth Flow Object	Fixed Fields	tokenUrl	string	false	true	"`oauth2` (`""password""`, `""clientCredentials""`, `""authorizationCode""`) | **REQUIRED**. The token URL to be used for this flow. This MUST be in the form of a URL."
OAS-3.0.0-F0138	3.0.0	oas/3.0/3.0.0.md	3311	OAuth Flow Object	Fixed Fields	refreshUrl	string	false	false	`oauth2` | The URL to be used for obtaining refresh tokens. This MUST be in the form of a URL.
OAS-3.0.0-F0139	3.0.0	oas/3.0/3.0.0.md	3312	OAuth Flow Object	Fixed Fields	scopes	Map[string, string]	false	true	`oauth2` | **REQUIRED**. The available scopes for the OAuth2 security scheme. A map between the scope name and a short description for it.
