goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
EquivalentAuthenticatedSynchronousProduce/mtls/128B/golib-policy-16                      5.365Ki ± 6%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/raw-franz-go-16                      4.459Ki ± 4%
EquivalentAuthenticatedSynchronousProduce/mtls/128B/sarama-16                            6.025Ki ± 1%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/golib-policy-16                     6.448Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/raw-franz-go-16                     4.656Ki ± 4%
EquivalentAuthenticatedSynchronousProduce/mtls/1024B/sarama-16                           8.003Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/golib-policy-16                5.154Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/raw-franz-go-16                4.379Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/128B/sarama-16                      6.040Ki ± 1%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/golib-policy-16               6.489Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/raw-franz-go-16               4.842Ki ± 6%
EquivalentAuthenticatedSynchronousProduce/sasl-plain/1024B/sarama-16                     7.934Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/golib-policy-16             5.160Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/raw-franz-go-16             4.444Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/128B/sarama-16                   6.126Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/golib-policy-16            6.515Ki ± 4%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/raw-franz-go-16            4.689Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/scram-sha-256/1024B/sarama-16                  7.971Ki ± 3%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/golib-policy-16             5.278Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/raw-franz-go-16             4.424Ki ± 4%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/128B/sarama-16                   6.101Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/golib-policy-16            6.387Ki ± 2%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/raw-franz-go-16            4.703Ki ± 8%
EquivalentAuthenticatedSynchronousProduce/scram-sha-512/1024B/sarama-16                  8.070Ki ± 2%
EquivalentAuthenticatedConnectProduceClose/mtls/golib-policy-16                          422.6Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/raw-franz-go-16                          392.5Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/mtls/sarama-16                                1.104Mi ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/golib-policy-16                    387.2Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/raw-franz-go-16                    381.9Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/sasl-plain/sarama-16                          1.140Mi ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/golib-policy-16                 405.0Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/raw-franz-go-16                 398.9Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-256/sarama-16                       1.192Mi ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/golib-policy-16                 411.7Ki ± 0%
EquivalentAuthenticatedConnectProduceClose/scram-sha-512/raw-franz-go-16                 406.3Ki ± 0%
