goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-observed-16                                                                       3.953Gi ± 25%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/transport-floor-16                                                                       450.5Gi ±  4%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-16                                                                                5.596Gi ± 12%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-observed-16                                                                       2.297Gi ± 45%
TransactionProcessorPolicyOverhead/1-records/1024B/transport-floor-16                                                                                     90.81Gi ± 14%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-16                                                                                              1.516Gi ±  4%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-observed-16                                                                                     1.036Gi ± 11%
TransactionProcessorPolicyOverhead/10-records/1024B/transport-floor-16                                                                                    434.9Gi ± 39%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-16                                                                                             2.489Gi ± 17%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-observed-16                                                                                    2.424Gi ±  5%
TransactionProcessorPolicyOverhead/100-records/1024B/transport-floor-16                                                                                   615.8Gi ± 15%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-16                                                                                            2.843Gi ±  9%
TransactionProcessorPolicyOverhead/100-records/1024B/policy-observed-16                                                                                   2.777Gi ±  8%
geomean                                                                                                                                                   10.40Gi

                                                                                     │ docs/performance-results/2026-08-10/raw-consumer-transaction-policy-overhead.txt │
                                                                                     │                                       B/op                                       │
ConsumerPolicyOverhead/record/1-record/1-partition/transport-floor-16                                                                                        8.000 ± 0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-16                                                                                               1.531Ki ± 0%
ConsumerPolicyOverhead/record/1-record/1-partition/policy-observed-16                                                                                      2.789Ki ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/transport-floor-16                                                                                      80.00 ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-16                                                                                             9.570Ki ± 0%
ConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16                                                                                    16.42Ki ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/transport-floor-16                                                                                     896.0 ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-16                                                                                            89.59Ki ± 0%
ConsumerPolicyOverhead/record/100-records/1-partition/policy-observed-16                                                                                   150.5Ki ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/transport-floor-16                                                                         896.0 ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-16                                                                                89.85Ki ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/sequential/policy-observed-16                                                                       150.8Ki ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/transport-floor-16                                                                         896.0 ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-16                                                                                90.30Ki ± 0%
ConsumerPolicyOverhead/record/100-records/4-partitions/parallel-4/policy-observed-16                                                                       151.3Ki ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/transport-floor-16                                                                                       80.00 ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-16                                                                                              3.914Ki ± 0%
ConsumerPolicyOverhead/batch/10-records/1-partition/policy-observed-16                                                                                     7.180Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/transport-floor-16                                                                                      896.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-16                                                                                             26.24Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/1-partition/policy-observed-16                                                                                    47.76Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/transport-floor-16                                                                          896.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-16                                                                                 28.35Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/sequential/policy-observed-16                                                                        51.06Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/transport-floor-16                                                                          896.0 ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-16                                                                                 28.79Ki ± 0%
ConsumerPolicyOverhead/batch/100-records/4-partitions/parallel-4/policy-observed-16                                                                        51.50Ki ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/transport-floor-16                                                                                        8.000 ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-16                                                                                               3.320Ki ± 0%
TransactionProcessorPolicyOverhead/1-records/1024B/policy-observed-16                                                                                      3.977Ki ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/transport-floor-16                                                                                       80.00 ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-16                                                                                              22.23Ki ± 0%
TransactionProcessorPolicyOverhead/10-records/1024B/policy-observed-16                                                                                     22.89Ki ± 0%
TransactionProcessorPolicyOverhead/100-records/1024B/transport-floor-16                                                                                      896.0 ± 0%
