goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
ProducerPolicyOverhead/transaction/1-records/1024B/policy-16                      1.074Gi ±   2%
ProducerPolicyOverhead/transaction/1-records/1024B/policy-observed-16             501.3Mi ±  11%
ProducerPolicyOverhead/transaction/10-records/1024B/transport-floor-16            706.6Gi ±   1%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-16                     1.380Gi ±   4%
ProducerPolicyOverhead/transaction/10-records/1024B/policy-observed-16            1.287Gi ±  19%
geomean                                                                           7.425Gi

                                                                       │ raw-policy-overhead.txt │
                                                                       │          B/op           │
ProducerPolicyOverhead/single/128B/transport-floor-16                               0.000 ± 0%
ProducerPolicyOverhead/single/128B/policy-16                                        912.0 ± 0%
ProducerPolicyOverhead/single/128B/policy-observed-16                             1.242Ki ± 0%
ProducerPolicyOverhead/single/1024B/transport-floor-16                              0.000 ± 0%
ProducerPolicyOverhead/single/1024B/policy-16                                     1.766Ki ± 0%
ProducerPolicyOverhead/single/1024B/policy-observed-16                            2.117Ki ± 0%
ProducerPolicyOverhead/single/65536B/transport-floor-16                             0.000 ± 0%
ProducerPolicyOverhead/single/65536B/policy-16                                    64.77Ki ± 0%
ProducerPolicyOverhead/single/65536B/policy-observed-16                           65.12Ki ± 0%
ProducerPolicyOverhead/batch/10-records/128B/transport-floor-16                     240.0 ± 0%
ProducerPolicyOverhead/batch/10-records/128B/policy-16                            6.602Ki ± 0%
ProducerPolicyOverhead/batch/10-records/128B/policy-observed-16                   6.953Ki ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/transport-floor-16                    240.0 ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/policy-16                           15.35Ki ± 0%
ProducerPolicyOverhead/batch/10-records/1024B/policy-observed-16                  15.70Ki ± 0%
ProducerPolicyOverhead/batch/100-records/128B/transport-floor-16                  2.625Ki ± 0%
ProducerPolicyOverhead/batch/100-records/128B/policy-16                           62.82Ki ± 0%
ProducerPolicyOverhead/batch/100-records/128B/policy-observed-16                  63.17Ki ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16                 2.625Ki ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/policy-16                          150.3Ki ± 0%
ProducerPolicyOverhead/batch/100-records/1024B/policy-observed-16                 150.7Ki ± 0%
ProducerPolicyOverhead/async/10-records/128B/transport-floor-16                     0.000 ± 0%
