goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/transport-floor-16       	 2230489	        54.10 ns/op	213111.70 MB/s	      80 B/op	       1 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   20480	      5875 ns/op	1962.57 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   20282	      5989 ns/op	1925.27 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   20064	      6017 ns/op	1916.21 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   18876	      7111 ns/op	1621.45 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   19905	     15286 ns/op	 754.27 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   12674	      8772 ns/op	1314.42 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   17826	      8089 ns/op	1425.48 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	    9010	     12890 ns/op	 894.48 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	   10000	     22775 ns/op	 506.25 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-16                	    8362	     17017 ns/op	 677.54 MB/s	    9800 B/op	     128 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	    6928	     20907 ns/op	 551.49 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     17258 ns/op	 668.09 MB/s	   16816 B/op	     245 allocs/op
BenchmarkConsumerPolicyOverhead/record/10-records/1-partition/policy-observed-16       	   10000	     70828 ns/op	 162.79 MB/s	   16816 B/op	     245 allocs/op
